TAXON 1,INTERACTION TYPE,BODY PART,TAXON 2,INTERACTION TITLE,REPORTED FOR BOGOTÁ,REMARKS,SOURCE TYPE 1,REFERENCE 1,SOURCE TYPE 2,REFERENCE 2,SOURCE TYPE 3,REFERENCE 3,SOURCE TYPE 4,REFERENCE 4,SOURCE TYPE 5,REFERENCE 5,SOURCE TYPE 6,REFERENCE 6
Platycheirus ecuadoriensis,Interactúa con,la flor,Brassicaceae sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Platycheirus ecuadoriensis,Interactúa con,la flor,Senecio sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Platycheirus ecuadoriensis,Interactúa con,la flor,Viburnum sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Platycheirus ecuadoriensis,Interactúa con,la flor,Ligustrum sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Platycheirus ecuadoriensis,Consume,el polen,Salvia bogotensis,VISITA FLORAL,SI,,Artículo Científico,"Zamora-Carrillo, M., Amat-García, G., Fernández-Alonso, J. (2011) Estudio de las visitas de las Moscas de las flores (Diptera:Syrphidae) en Salvia bogotensis (Lamiaceae) en el Jardín Botánico José Celestino Mutis (Bogotá D.C-Colombia). Caldasia 33, 453-470.",,,,,,,,,,
Platycheirus fenestrata,Consume,el polen,Salvia bogotensis,VISITA FLORAL,SI,,Artículo Científico,"Zamora-Carrillo, M., Amat-García, G., Fernández-Alonso, J. (2011) Estudio de las visitas de las Moscas de las flores (Diptera:Syrphidae) en Salvia bogotensis (Lamiaceae) en el Jardín Botánico José Celestino Mutis (Bogotá D.C-Colombia). Caldasia 33, 453-470.",,,,,,,,,,
Syrphus shorae,Interactúa con,la flor,Apiaceae sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Syrphus shorae,Interactúa con,la flor,Senecio sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Syrphus shorae,Interactúa con,la flor,Viburnum sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Syrphus shorae,Interactúa con,la flor,Ligustrum sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Syrphus shorae,Interactúa con,la flor,Passiflora sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Syrphus shorae,Interactúa con,la flor,Baccharis latifolia,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Syrphus shorae,Interactúa con,la flor,Bidens pilosa,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Syrphus shorae,Consume,el polen,Salvia bogotensis,VISITA FLORAL,SI,,Artículo Científico,"Zamora-Carrillo, M., Amat-García, G., Fernández-Alonso, J. (2011) Estudio de las visitas de las Moscas de las flores (Diptera:Syrphidae) en Salvia bogotensis (Lamiaceae) en el Jardín Botánico José Celestino Mutis (Bogotá D.C-Colombia). Caldasia 33, 453-470.",,,,,,,,,,
Syrphus shorae,Interactúa con,la flor,Eucalyptus globulus,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Toxomerus paragrammus,Interactúa con,la flor,Apiaceae sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Toxomerus paragrammus,Interactúa con,la flor,Ligustrum sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Toxomerus paragrammus,Interactúa con,la flor,Baccharis latifolia,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Toxomerus watsoni,Interactúa con,la flor,Brassicaceae sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Toxomerus watsoni,Interactúa con,la flor,Poaceae sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Toxomerus watsoni,Interactúa con,la flor,Ligustrum sp.,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Toxomerus watsoni,Interactúa con,la flor,Baccharis latifolia,VISITA FLORAL,SI,Visita floral sin especificación de consumo de nectar o polen. La visita fue inferida por medio de obtención de polen de contacto,Literatura Gris,"Ángel-Villareal, S.L., Bogotá-Ángel, R.G., Montoya-Giraldo, A.K. (2019) Comunidades de sírfidos asociadas a coberturas influenciadas por actividades antrópicas en Bogotá D.C. Cartél de exhibición. Biomas: Humedales y Ecosistémas Hídricos. Congreso Colombiano de Servicios Ecosistémicos. Universidad Milita Nueva Granada, Bogotá, Colombia.",,,,,,,,,,
Chetogena scutellaris,Parasita a,general,Leptophobia aripa,PARASITISMO,NO,Avispas parasíticas que atacan la larva y emergen de la pupa de Leptophobia aripa,Artículo Científico,"Cave. R., Cordero. R. (1999) Parasitoides de Leptophobia aripa Boisduval (Lepidoptera: Pieridae) en repollo y brócoli en Honduras. Veiba 40, 51-55",,,,,,,,,,
Peckia lambens,Parasita a,general,Leptophobia aripa,PARASITISMO,NO,Ataca a la larva y emerge de la pupa de Leptophobia aripa,Artículo Científico,"Cave. R., Cordero. R. (1999) Parasitoides de Leptophobia aripa Boisduval (Lepidoptera: Pieridae) en repollo y brócoli en Honduras. Veiba 40, 51-55",,,,,,,,,,
Bemisia tabaci,Consume,parte no especificada,Helianthus annuus,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Gerling, D. (1984) The overwintering mode of Bemisia tabaci and its parasitoids in Israel. Phytoparasitica 12, 109.",,,,,,,,,,
Bemisia tabaci,Consume,la hoja,Phaseolus vulgaris,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Cuellar, E., Morales F. (2006) La mosca blanca Bemisia tabaci (Gennadius) como plaga y vectora de virus en fríjol común (Phaseolus vulgaris L.). Revista Colombiana de Entomología 32, 1-9.",,,,,,,,,,
Bemisia tabaci,Consume,parte no especificada,Lantana camara,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Gerling, D. (1984) The overwintering mode of Bemisia tabaci and its parasitoids in Israel. Phytoparasitica 12, 109.",,,,,,,,,,
Bemisia tabaci,Consume,la savia,Populus nigra,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Samin, N., Ghahari, H., Behnood, S. (2015) A contribution to the knowledge of whiteflies (Hemiptera: Aleyrodidae) in Khorasan and Semnan Provinces, Iran. Acta Phytopathologica et Entomologica Hungarica 50, 287-295.",,,,,,,,,,
Bemisia tabaci,Consume,parte no especificada,Abutilon grandifolium,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Gerling, D. (1984) The overwintering mode of Bemisia tabaci and its parasitoids in Israel. Phytoparasitica 12, 109.",,,,,,,,,,
Bemisia tabaci,Consume,parte no especificada,Physalis peruviana,HERBIVORÍA PARCIAL,NO,,Literatura Gris,"Jerez-Rozo, C.M. (2006) Reconocimiento de la entomofauna mayor presente en el cultivo de uchuva (Physalis preuviana L.). Tesis de Pregrado, Universidad Nacional de Colombia.",,,,,,,,,,
Bemisia tabaci,Consume,parte no especificada,Solanum tuberosum,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Gerling, D. (1984) The overwintering mode of Bemisia tabaci and its parasitoids in Israel. Phytoparasitica 12, 109.",,,,,,,,,,
Trialeurodes vaporariorum,Consume,la savia,Phaseolus vulgaris,HERBIVORÍA PARCIAL,NO,Consume floema de las hojas,Artículo Científico,"Suárez-González, L.F., Díaz-Tapias, M.A., Rodríguez Caicedo, D., Cantor-Rincón D. (2015) Medición indirecta de la tasa de consumo de adultos e inmaduros de Trialeurodes vaporariorum (Hemiptera: Aleyrodidae) sobre frijól. Acta Biológica Colombiana 20, 99-109.",,,,,,,,,,
Trialeurodes vaporariorum,Consume,la hoja,Salvia hispanica,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Téllez-Carmona, J.M., Aragón-García, A., Pérez-Torres, B.C., Nava-Díaz, C., Molina-Martínez, A. (2018) Entomofauna asociada al cultivo de chía (Salvia hispanica L.) en San Lucas Tulcingo, Tochimilco, Puebla. México. Revista Entomologia Mexicana 5, 358-361. ",,,,,,,,,,
Trialeurodes vaporariorum,Consume,parte no especificada,Physalis peruviana,HERBIVORÍA PARCIAL,NO,,Literatura Gris,"Jerez-Rozo, C.M. (2006) Reconocimiento de la entomofauna mayor presente en el cultivo de uchuva (Physalis preuviana L.). Tesis de Pregrado, Universidad Nacional de Colombia.",,,,,,,,,,
Trialeurodes vaporariorum,Consume,parte no especificada,Ficus americana subsp. andicola,HERBIVORÍA PARCIAL,SI,,Libro,"Mahecha-Vega, G.E., Cadena-Carreño, H.G., Chaparro-Guerra, J.A., Sánchez-Hurtado, F. (2010) Arbolado Urbano de Bogotá: Identificación, descripción y bases para su manejo. Bogotá: Alcaldía Mayor de Bogotá; Secretaría Distrital de Ambiente; Jardín Botánico de Bogotá José Celestino Mutis.",,,,,,,,,,
Acyrthosiphon kondoi,Consume,la savia,Medicago sativa,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Stary, P., Rodríguez. F., Remaudiere. G. (1994) Asociación planta-afidos-parasitoide, en la zona central de Chile. Agricultura Técnica 54, 46-53",,,,,,,,,,
Acyrthosiphon pisum,Consume,la savia,Capsella bursa-pastoris,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Roberti, D. (1993) Gli Afi di D’Italia (Homoptera Aphidoidea). Entomologica 25-26, 3-387.",,,,,,,,,,
Acyrthosiphon pisum,Consume,la savia,Medicago sativa,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Stary, P., Rodríguez. F., Remaudiere. G. (1994) Asociación planta-afidos-parasitoide, en la zona central de Chile. Agricultura Técnica 54, 46-53",,,,,,,,,,
Aphis craccivora,Consume,la savia,Ageratum conyzoides,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Singh, R., Singh, G., Kumar-Tiwari, A., Patel, S., Agrawal, R., Sharma, A. Singh, B.B. (2015) Diversity of Host Plants of Aphids (Homoptera: Aphididae) Infesting Asteraceae in India. International Journal of Zoological
Investigations 1, 137-167.",,,,,,,,,,
Aphis craccivora,Consume,la savia,Bidens pilosa,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Singh, R., Singh, G., Kumar-Tiwari, A., Patel, S., Agrawal, R., Sharma, A. Singh, B.B. (2015) Diversity of Host Plants of Aphids (Homoptera: Aphididae) Infesting Asteraceae in India. International Journal of Zoological
Investigations 1, 137-167.",,,,,,,,,,
Aphis craccivora,Consume,la savia,Carthamus tinctorius,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Singh, R., Singh, G., Kumar-Tiwari, A., Patel, S., Agrawal, R., Sharma, A. Singh, B.B. (2015) Diversity of Host Plants of Aphids (Homoptera: Aphididae) Infesting Asteraceae in India. International Journal of Zoological
Investigations 1, 137-167.",,,,,,,,,,
Aphis craccivora,Consume,la savia,Dahlia pinnata,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Singh, R., Singh, G., Kumar-Tiwari, A., Patel, S., Agrawal, R., Sharma, A. Singh, B.B. (2015) Diversity of Host Plants of Aphids (Homoptera: Aphididae) Infesting Asteraceae in India. International Journal of Zoological
Investigations 1, 137-167.",,,,,,,,,,
Aphis craccivora,Consume,la savia,Sonchus asper,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Singh, R., Singh, G., Kumar-Tiwari, A., Patel, S., Agrawal, R., Sharma, A. Singh, B.B. (2015) Diversity of Host Plants of Aphids (Homoptera: Aphididae) Infesting Asteraceae in India. International Journal of Zoological
Investigations 1, 137-167.",,,,,,,,,,
Aphis craccivora,Consume,la savia,Tagetes erecta,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Singh, R., Singh, G., Kumar-Tiwari, A., Patel, S., Agrawal, R., Sharma, A. Singh, B.B. (2015) Diversity of Host Plants of Aphids (Homoptera: Aphididae) Infesting Asteraceae in India. International Journal of Zoological
Investigations 1, 137-167.",,,,,,,,,,
Aphis craccivora,Consume a,la savia,Spinacia oleracea,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Pike, K.S., Miller, R.H., Stary, P. (2000) Aphid fauna (Hemiptera: Aphididae) and associated flora of Guam. Micronesica 33, 179-207.",,,,,,,,,,
Aphis craccivora,Consume a,la savia,Bougainvillea spectabilis,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Pike, K.S., Miller, R.H., Stary, P. (2000) Aphid fauna (Hemiptera: Aphididae) and associated flora of Guam. Micronesica 33, 179-207.",,,,,,,,,,
Aphis craccivora,Consume a,la savia,Cucumis sativus,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Pike, K.S., Miller, R.H., Stary, P. (2000) Aphid fauna (Hemiptera: Aphididae) and associated flora of Guam. Micronesica 33, 179-207.",,,,,,,,,,
Aphis craccivora,Consume a,la savia,Gliricidia sepium,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Pike, K.S., Miller, R.H., Stary, P. (2000) Aphid fauna (Hemiptera: Aphididae) and associated flora of Guam. Micronesica 33, 179-207.",,,,,,,,,,
Aphis craccivora,Consume,la savia,Medicago sativa,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Stary, P., Rodríguez. F., Remaudiere, G. (1994) Asociación planta-afidos-parasitoide, en la zona central de Chile. Agricultura Técnica 54, 46-53",,,,,,,,,,
Aphis craccivora,Consume a,la savia,Phaseolus vulgaris,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Pike, K.S., Miller, R.H., Stary, P. (2000) Aphid fauna (Hemiptera: Aphididae) and associated flora of Guam. Micronesica 33, 179-207.",,,,,,,,,,
Aphis craccivora,Consume a,la savia,Senna alata,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Pike, K.S., Miller, R.H., Stary, P. (2000) Aphid fauna (Hemiptera: Aphididae) and associated flora of Guam. Micronesica 33, 179-207.",,,,,,,,,,
Aphis craccivora,Consume,la savia,Spartium junceum,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Mifsud, D., Mangion, M., Azzopardi, E., Espadaler, X., Cuesta Segura, D., Watson, G.W., Perez Hidalgo, N. (2011) Aphids associated with shrubs, herbaceous plants and crops in the Maltese Archipelago (Hemiptera, Aphidoidea). Bulletin of the Entomological Society of Malta 4, 5-53.",,,,,,,,,,
Aphis craccivora,Consume,la savia,Trifolium repens,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Stary, P., Rodríguez. F., Remaudiere. G. (1994) Asociación planta-afidos-parasitoide, en la zona central de Chile. Agricultura Técnica 54, 46-53",,,,,,,,,,
Aphis craccivora,Consume,la savia,Lantana camara,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Mifsud, D., Mangion, M., Azzopardi, E., Espadaler, X., Cuesta Segura, D., Watson, G.W., Perez Hidalgo, N. (2011) Aphids associated with shrubs, herbaceous plants and crops in the Maltese Archipelago (Hemiptera, Aphidoidea). Bulletin of the Entomological Society of Malta 4, 5-53.",,,,,,,,,,
Aphis craccivora,Consume a,la savia,Citrus limon,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Pike, K.S., Miller, R.H., Stary, P. (2000) Aphid fauna (Hemiptera: Aphididae) and associated flora of Guam. Micronesica 33, 179-207.",,,,,,,,,,
Aphis craccivora,Consume a,la savia,Capsicum annuum,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Pike, K.S., Miller, R.H., Stary, P. (2000) Aphid fauna (Hemiptera: Aphididae) and associated flora of Guam. Micronesica 33, 179-207.",,,,,,,,,,
Aphis fabae,Consume,la savia,Foeniculum vulgare,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Mifsud, D., Mangion, M., Azzopardi, E., Espadaler, X., Cuesta Segura, D., Watson, G.W., Perez Hidalgo, N. (2011) Aphids associated with shrubs, herbaceous plants and crops in the Maltese Archipelago (Hemiptera, Aphidoidea). Bulletin of the Entomological Society of Malta 4, 5-53.",,,,,,,,,,
Aphis fabae,Consume,la savia,Hedera helix,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Mifsud, D., Mangion, M., Azzopardi, E., Espadaler, X., Cuesta Segura, D., Watson, G.W., Perez Hidalgo, N. (2011) Aphids associated with shrubs, herbaceous plants and crops in the Maltese Archipelago (Hemiptera, Aphidoidea). Bulletin of the Entomological Society of Malta 4, 5-53.",,,,,,,,,,
Aphis fabae,Consume,la savia,Pittosporum tobira,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Mifsud, D., Mangion, M., Azzopardi, E., Espadaler, X., Cuesta Segura, D., Watson, G.W., Perez Hidalgo, N. (2011) Aphids associated with shrubs, herbaceous plants and crops in the Maltese Archipelago (Hemiptera, Aphidoidea). Bulletin of the Entomological Society of Malta 4, 5-53.",,,,,,,,,,
Aphis fabae,Consume,la savia,Bidens pilosa,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Singh, R., Singh, G., Kumar-Tiwari, A., Patel, S., Agrawal, R., Sharma, A. Singh, B.B. (2015) Diversity of Host Plants of Aphids (Homoptera: Aphididae) Infesting Asteraceae in India. International Journal of Zoological
Investigations 1, 137-167.",,,,,,,,,,
Aphis fabae,Consume,la savia,Cynara cardunculus,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Stary, P., Rodríguez. F., Remaudiere. G. (1994) Asociación planta-afidos-parasitoide, en la zona central de Chile. Agricultura Técnica 54, 46-53",,,,,,,,,,
Aphis fabae,Consume,la savia,Tagetes erecta,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Singh, R., Singh, G., Kumar-Tiwari, A., Patel, S., Agrawal, R., Sharma, A. Singh, B.B. (2015) Diversity of Host Plants of Aphids (Homoptera: Aphididae) Infesting Asteraceae in India. International Journal of Zoological
Investigations 1, 137-167.",,,,,,,,,,
Aphis fabae,Consume,la savia,Chenopodium murale,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Mifsud, D., Mangion, M., Azzopardi, E., Espadaler, X., Cuesta Segura, D., Watson, G.W., Perez Hidalgo, N. (2011) Aphids associated with shrubs, herbaceous plants and crops in the Maltese Archipelago (Hemiptera, Aphidoidea). Bulletin of the Entomological Society of Malta 4, 5-53.",,,,,,,,,,
Aphis fabae,Consume,la savia,Vicia faba,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Mifsud, D., Mangion, M., Azzopardi, E., Espadaler, X., Cuesta Segura, D., Watson, G.W., Perez Hidalgo, N. (2011) Aphids associated with shrubs, herbaceous plants and crops in the Maltese Archipelago (Hemiptera, Aphidoidea). Bulletin of the Entomological Society of Malta 4, 5-53.",,,,,,,,,,
Aphis fabae,Consume,la savia,Papaver rhoeas,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Mifsud, D., Mangion, M., Azzopardi, E., Espadaler, X., Cuesta Segura, D., Watson, G.W., Perez Hidalgo, N. (2011) Aphids associated with shrubs, herbaceous plants and crops in the Maltese Archipelago (Hemiptera, Aphidoidea). Bulletin of the Entomological Society of Malta 4, 5-53.",,,,,,,,,,
Aphis gossypii,Consume,la savia,Petroselinum crispum,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Mifsud, D., Mangion, M., Azzopardi, E., Espadaler, X., Cuesta Segura, D., Watson, G.W., Perez Hidalgo, N. (2011) Aphids associated with shrubs, herbaceous plants and crops in the Maltese Archipelago (Hemiptera, Aphidoidea). Bulletin of the Entomological Society of Malta 4, 5-53.",,,,,,,,,,
Aphis gossypii,Consume,la savia,Ageratum conyzoides,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Kong, C., Hu, F., Xu, X. (2002) Allelopathic potential and chemical constituents of volatiles from Ageratum conyzoides under stress. Journal of Chemical Ecology 28, 1173-1182.",Artículo Cientifico,"Singh, R., Singh, G., Kumar-Tiwari, A., Patel, S., Agrawal, R., Sharma, A. Singh, B.B. (2015) Diversity of Host Plants of Aphids (Homoptera: Aphididae) Infesting Asteraceae in India. International Journal of Zoological
Investigations 1, 137-167.",,,,,,,,
